section,tenantId,vehicle_count,vehicleIds,column_name,min,max,mean,median,variance,null_count,missing_count,zero_count
numeric_column_statistics,,,,defLevel.value,7.4,86.8,30.08010204081633,30.6,79.30785845107275,179.0,179.0,0.0
numeric_column_statistics,,,,defTankTemp.value,25.0,150.8,93.80714285714286,96.8,354.16138461538463,179.0,179.0,0.0
numeric_column_statistics,,,,metaData.driverBehavior.longitudinalAcceleration_ms2,-1.2,0.9,-0.024576271186440672,0.0,0.03144212661161814,257.0,257.0,91.0
numeric_column_statistics,,,,metaData.driverBehavior.steeringWheelAngle_deg,-2.461,3.02,0.07038333333333334,0.017499999999999998,0.6845019014124293,315.0,315.0,2.0
numeric_column_statistics,,,,metaData.driverBehavior.brakePosition_pct,0.0,57.6,2.303225806451613,0.0,80.78523532522476,313.0,313.0,56.0
numeric_column_statistics,,,,metaData.driverBehavior.cruiseSetSpeed_kph,0.0,115.0,75.29411764705883,99.0,1900.3351158645276,341.0,341.0,8.0
numeric_column_statistics,,,,metaData.driverBehavior.acceleratorPosition_pct,0.0,100.0,19.28571428571429,0.0,1125.8296729776246,291.0,291.0,55.0
numeric_column_statistics,,,,metaData.eldEngineRecord.tripFuel,3154.8,496435.5,206092.25818181818,201135.2,11195632835.716183,320.0,320.0,0.0
numeric_column_statistics,,,,metaData.eldEngineRecord.chargeCoolerTemp,0.0,46.5,2.847128712871287,0.0,74.88778867326731,274.0,274.0,88.0
numeric_column_statistics,,,,metaData.eldEngineRecord.fuelTemp,0.87,53.71,24.677857142857142,22.405,146.24067532467532,319.0,319.0,0.0
numeric_column_statistics,,,,metaData.eldEngineRecord.intakePressure,0.0,200.0,50.827586206896555,26.0,3491.373260738051,317.0,317.0,8.0
numeric_column_statistics,,,,metaData.eldEngineRecord.engineCoolantTemp,-40.0,91.0,78.63157894736842,86.0,813.1296992481203,318.0,318.0,0.0
numeric_column_statistics,,,,metaData.eldEngineRecord.oilPressure,0.0,424.0,72.57407407407408,36.0,8728.852900069882,321.0,321.0,2.0
numeric_column_statistics,,,,metaData.eldEngineRecord.load_pct,0.0,100.0,28.87323943661972,11.0,1046.5979879275656,304.0,304.0,16.0
numeric_column_statistics,,,,metaData.eldEngineRecord.engineCoolantLevel,100.0,100.0,100.0,100.0,0.0,321.0,321.0,0.0
numeric_column_statistics,,,,metaData.eldEngineRecord.turboRpm,0.0,96828.0,39691.48148148148,33122.0,618554428.405311,321.0,321.0,2.0
numeric_column_statistics,,,,metaData.eldEngineRecord.intakeTemp,-5.0,53.0,18.5,22.0,496.27777777777777,365.0,365.0,0.0
numeric_column_statistics,,,,metaData.eldEngineRecord.massAirFlow_galPerSec,0.0,1559.15,500.1136363636364,426.55,135625.19661616161,320.0,320.0,5.0
numeric_column_statistics,,,,metaData.eldEngineRecord.drivingFuelEconomy,0.0,3.546,1.6555049504950496,2.845,2.4258473124752475,274.0,274.0,47.0
numeric_column_statistics,,,,metaData.eldEngineRecord.engineOilTemp,59.46,110.34,96.57814285714286,98.34,112.87117186335404,305.0,305.0,0.0
numeric_column_statistics,,,,metaData.eldFuelRecord.idleTimeHours,0.0,10772.2,2180.757857142857,1423.375,6531645.618959111,305.0,305.0,1.0
numeric_column_statistics,,,,metaData.eldFuelRecord.totalFuelConsumedLiters,73.0,496435.5,219987.39655172414,238467.0,11214717108.568058,317.0,317.0,0.0
numeric_column_statistics,,,,metaData.eldFuelRecord.fuelRateLitersPerHours,0.0,75.7,16.502142857142857,4.925,424.3512634575569,305.0,305.0,9.0
numeric_column_statistics,,,,metaData.eldFuelRecord.idleFuelConsumedLiters,983.5,25292.5,8001.067307692308,7627.0,21965882.627733782,323.0,323.0,0.0
numeric_column_statistics,,,,metaData.eldFuelRecord.fuelIntegratedLiters,4.027,79038.391,2847.2721428571426,353.96950000000004,123187384.96624349,305.0,305.0,0.0
numeric_column_statistics,,,,metaData.eldFuelRecord.fuelPerc,0.0,99.2,61.112500000000004,68.0,960.0531746031746,311.0,311.0,9.0
numeric_column_statistics,,,,metaData.eldEmissionRecord.defFluidLevel,28.8,100.0,80.94545454545455,86.4,420.9028956228955,320.0,320.0,0.0
numeric_column_statistics,,,,metaData.eldEmissionRecord.defTankTemp,5.0,63.0,36.836363636363636,41.0,104.8060606060606,320.0,320.0,0.0
numeric_column_statistics,,,,metaData.eldEmissionRecord.exhaustTemp1,-40.0,315.06,212.51648148148146,216.635,5325.664019461915,321.0,321.0,0.0
numeric_column_statistics,,,,metaData.eldEmissionRecord.noxOutlet,-11.0,520.0,33.678000000000004,2.5,9738.833179591837,325.0,325.0,5.0
numeric_column_statistics,,,,metaData.eldEmissionRecord.afterTreatmentFuelPressure,4980.0,110000.0,27238.14814814815,11840.0,941242388.9587702,321.0,321.0,0.0
numeric_column_statistics,,,,metaData.eldEmissionRecord.dpfDifferentialPressure,0.0,6.3,1.8909090909090909,1.2,3.1945454545454544,320.0,320.0,5.0
numeric_column_statistics,,,,metaData.eldEmissionRecord.noxInlet,-100.0,896.0,276.14599999999996,156.5,78586.5776367347,325.0,325.0,1.0
